Enter 's' to start: x_err,y_err, velCond, z_err [0.] [0.] 74.80077162135734 [0.5]
x_err,y_err, velCond, z_err [0.02653792] [0.09767578] 0.7647570973378952 [0.23105786]
x_err,y_err, velCond, z_err [0.03509084] [0.1003875] 0.4807600341723469 [0.24806676]
x_err,y_err, velCond, z_err [0.0250282] [0.09316139] 0.5295397183974015 [0.23088577]
x_err,y_err, velCond, z_err [0.02954901] [0.09386898] 0.2518175625390197 [0.23985911]
x_err,y_err, velCond, z_err [0.0280345] [0.09235755] 0.053502265505420796 [0.23981628]
x_err,y_err, velCond, z_err [0.02602688] [0.08986871] 0.12962808156769984 [0.23573454]
x_err,y_err, velCond, z_err [0.02351652] [0.0856373] 0.17806647641517828 [0.23058424]
x_err,y_err, velCond, z_err [0.01950293] [0.08369409] 0.22969722696161515 [0.22255104]
x_err,y_err, velCond, z_err [0.0134808] [0.07779913] 0.37022887581793984 [0.21037341]
x_err,y_err, velCond, z_err [0.02150683] [0.08016003] 0.4513876369935362 [0.22637374]
x_err,y_err, velCond, z_err [0.01799817] [0.07769834] 0.14756924204687868 [0.22231515]
x_err,y_err, velCond, z_err [0.01198488] [0.07183863] 0.3697604597560742 [0.21013892]
x_err,y_err, velCond, z_err [0.0064899] [0.0684464] 0.2584677771849149 [0.20206507]
x_err,y_err, velCond, z_err [0.00448722] [0.06453278] 0.1510225901476074 [0.19792197]
x_err,y_err, velCond, z_err [0.00248541] [0.0621092] 0.12874229986812055 [0.19384296]
x_err,y_err, velCond, z_err [4.36694477e-05] [0.05727974] 0.24573573741458596 [0.18566385]
x_err,y_err, velCond, z_err [0.00796968] [0.05805661] 0.44627994071418065 [0.20159646]
x_err,y_err, velCond, z_err [0.00396124] [0.05471731] 0.24072385917762978 [0.19350336]
x_err,y_err, velCond, z_err [0.00596409] [0.05416347] 0.11160173363055598 [0.19745428]
x_err,y_err, velCond, z_err [0.00996972] [0.05303828] 0.22324076342325525 [0.20535537]
x_err,y_err, velCond, z_err [0.00205486] [0.04458678] 0.7080991465627692 [0.18114321]
x_err,y_err, velCond, z_err [5.20168165e-05] [0.0440271] 0.11161433463019235 [0.18509388]
x_err,y_err, velCond, z_err [0.00847673] [0.04708951] 0.5495548151845586 [0.20512133]
x_err,y_err, velCond, z_err [0.00247238] [0.04141185] 0.3677306575282764 [0.19295279]
x_err,y_err, velCond, z_err [0.00595662] [0.04231292] 0.1343653325528244 [0.19694461]
x_err,y_err, velCond, z_err [0.00342641] [0.04051073] 0.21568797863289413 [0.18889574]
x_err,y_err, velCond, z_err [0.00436981] [0.04108208] 0.10357064042150092 [0.18490243]
x_err,y_err, velCond, z_err [0.00768988] [0.04220727] 0.2185505267237781 [0.17689406]
x_err,y_err, velCond, z_err [0.00999797] [0.04353799] 0.18686988692412224 [0.16991019]
x_err,y_err, velCond, z_err [0.01439041] [0.04646099] 0.1319119445303793 [0.1699716]
x_err,y_err, velCond, z_err [0.01672615] [0.04845646] 0.12514842500394546 [0.16601916]
x_err,y_err, velCond, z_err [0.02487657] [0.05335142] 0.2570279235477137 [0.16210617]
x_err,y_err, velCond, z_err [0.02154417] [0.0534272] 0.31040199436624977 [0.15014588]
x_err,y_err, velCond, z_err [0.02223046] [0.05321493] 0.17657505164924914 [0.14311951]
x_err,y_err, velCond, z_err [0.02866428] [0.05705222] 0.2131957324586956 [0.14719443]
x_err,y_err, velCond, z_err [0.02145877] [0.0555879] 0.7719162613580829 [0.11720603]
x_err,y_err, velCond, z_err [0.02590221] [0.05773693] 0.14479797962454 [0.12023652]
x_err,y_err, velCond, z_err [0.02058479] [0.05620124] 0.4709545002839621 [0.10222975]
x_err,y_err, velCond, z_err [0.02268443] [0.05663539] 0.1138157145723524 [0.0982136]
x_err,y_err, velCond, z_err [0.05073816] [0.01754242] 0.18949832837827804 [0.02905544]
x_err,y_err, velCond, z_err [0.02691798] [0.05945268] 0.127140582081459 [0.09827279]
x_err,y_err, velCond, z_err [0.05152355] [0.01179342] 0.46709031690691183 [0.01129567]
x_err,y_err, velCond, z_err [0.02219062] [0.05601107] 0.38145637877100075 [0.08417947]
x_err,y_err, velCond, z_err [0.0259649] [0.05773185] 0.20397629762400082 [0.09120541]
x_err,y_err, velCond, z_err [0.0259649] [0.05773185] 0.0 [0.09120541]
x_err,y_err, velCond, z_err [0.04562321] [0.00722898] 0.2762704443438529 [0.0013953]
x_err,y_err, velCond, z_err [0.01917403] [0.0538774] 0.31870028762458025 [0.08112875]
x_err,y_err, velCond, z_err [0.02078848] [0.05321432] 0.08571102437915915 [0.0840797]
x_err,y_err, velCond, z_err [0.03809079] [0.00321929] 0.07655405629586452 [0.00254672]
x_err,y_err, velCond, z_err [0.5] [0.0524812] 0.08736718630574002 [0.0810687]
x_err,y_err, velCond, z_err [0.5] [0.05590233] 0.40771340991862515 [0.09511997]
x_err,y_err, velCond, z_err [0.5] [0.05138916] 0.2473819917072705 [0.08799429]
x_err,y_err, velCond, z_err [0.5] [0.0538181] 0.29105262674663446 [0.09803046]
x_err,y_err, velCond, z_err [0.5] [0.04901917] 0.4174517731821382 [0.08391978]
x_err,y_err, velCond, z_err [0.5] [0.04689658] 0.11959032415804156 [0.08086947]
x_err,y_err, velCond, z_err [0.5] [0.04887006] 0.38526533681550745 [0.09487941]
x_err,y_err, velCond, z_err [0.5] [0.04438261] 0.2665382441703676 [0.08777516]
x_err,y_err, velCond, z_err [0.5] [0.04536622] 0.28399628304860336 [0.09774959]
x_err,y_err, velCond, z_err [0.5] [0.04017871] 0.3309289955355802 [0.0876149]
x_err,y_err, velCond, z_err [0.5] [0.03617823] 0.34601324458837324 [0.07653802]
x_err,y_err, velCond, z_err [0.5] [0.03621202] 0.4790107444618182 [0.09445876]
x_err,y_err, velCond, z_err [0.5] [0.03084035] 0.37689606457533525 [0.08334301]
